formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiTlHg2,0.572860132,305.7569358,374.8325,134.25,1.02,1.65,0.25,7.5,18.975,10.65125
Tl2CdHg,0.774058195,349.1863177,495.635,141.5,0.38,1.7325,0.5,10,2.19,6.945
Na2TlHg,0.568447993,384.7175651,388.265,152.25,1.07,1.37,0.25,5,18.75,15.2825
InHg2Bi,0.754747175,309.6504965,360.6975,138.5,0.24,1.95,1,10,9.25,5.1925
TlHg2Pb,0.780573779,332.2520687,411.5625,138.75,0.71,1.9875,0.75,10,2.19,6.31625
NaHg2Pb,0.602243468,318.9908746,360.03,144,1.4,1.815,0.5,7.5,18.75,10.45625
NaGaHg2,0.627191237,303.6707623,285.605,138,1.07,1.685,0.25,7.5,18.75,10.7375
LiInHg2,0.605764572,277.871422,338.02,133.5,1.02,1.69,0.25,7.5,18.975,11.17625
Tl2HgPb,0.836993121,358.6073864,497.2325,142,0.71,1.8925,1,10,2.19,6.86375
InHg2Pb,0.843012161,336.296056,374.75,138,0.55,2.0275,0.75,10,4.29,6.84125
Mg6GaBi,-0.018792136,23.37994181,798.16375,139.5,0.71,1.46125,0.5,2.5,10.36666667,9.14
Mg6GaBi,-0.018523093,23.32723664,798.16375,139.5,0.71,1.46125,0.5,2.5,10.36666667,9.14
SrMg14Ga,0.033064408,24.09437921,892.181875,143.1875,0.86,1.31875,0.0625,0.625,17.43,11.52520833
NaMg6Ga,0.042987808,22.83396653,776.4725,141.75,0.88,1.325,0.125,1.25,15.99,12.10375
NaMg6Ga,0.043645545,22.77782968,776.4725,141.75,0.88,1.325,0.125,1.25,15.99,12.10375
Mg6GaCu,0.017794649,19.64948963,899.835,137.5,0.59,1.44625,0.125,2.5,4.616666667,9.85875
Mg6GaCu,0.019951385,19.88283013,899.835,137.5,0.59,1.44625,0.125,2.5,4.616666667,9.85875
CaMg6Ga,-0.015672838,23.87287063,869.48875,143,0.81,1.33375,0.125,1.25,17.61333333,12.30666667
CaMg6Ga,-0.015647366,23.79066453,869.48875,143,0.81,1.33375,0.125,1.25,17.61333333,12.30666667
SrMg14Ga,0.050946351,24.19441571,892.181875,143.1875,0.86,1.31875,0.0625,0.625,17.43,11.52520833
Ca2ZnCd,1.182059258,403.1593573,879.225,154.5,0.69,1.335,0,5,19.91666667,16.15083333
Sr2ZnIn,1.182109378,402.2368919,805.6075,163.5,0.83,1.3325,0.25,5,19.73333333,16.64166667
MgZn2Pd,1.110154064,234.0217296,1034.1025,131,0.89,1.7025,0,7.5,5.966666667,6.8
