formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
Ca2InGa,1.262887842,0.294658094,71,372.9234991,740.665,154,22,0.81,1.3975,0.5,5,18.9125,0.168552346,30.745,17.61333333,17.30916667
AlGaPd2,1.148549384,0.661465253,71,194.2697659,1223.12,130.25,8.75,0.59,1.955,0.5,7.5,4.4475,0.467599267,17.10625,3.32,6.13
GaCuPd2,1.546464984,0.808797701,71,177.6487233,1329.195,133,6,0.39,2.0275,0.25,10,7.7875,0.680880037,12.165,3.32,5.9675
ZnGaNi2,1.692679016,0.812212328,71,129.0664147,1112.8975,123,1,0.26,1.82,0.25,9,8.5375,0.673432166,1.82,2.303333333,6.884166667
MgGaPt2,1.359971252,0.954110444,71,210.6743456,1327.1775,133.75,5.875,0.97,1.92,0.25,7,7.87,0.390040049,11.28,4.266666667,7.971666667
NaHg2Au,0.292757444,0.871573007,71,295.8504757,544.21,141.5,12.25,1.61,1.8675,0,7.5,12.54333333,0.31114359,22.876875,18.75,10.1575
TlCdHg2,0.583240395,0.869794013,71,342.6743448,409.965,138.25,6.25,0.38,1.8275,0.25,10,7.415,0.412881181,11.421875,2.19,6.3975
LiHg2Au,0.321630021,1.059045437,71,237.1880167,564.915,132,2,1.56,1.88,0,7.5,8.644252874,0.358129821,3.76,18.975,10.21375
LiCdHg2,0.408441407,0.779611313,71,277.1777766,379.1375,134,5,1.02,1.6675,0,7.5,8.644252874,0.34656637,8.3375,18.975,10.59375
CdInHg2,0.654858386,0.798050179,71,326.88975,373.1525,137.5,5.5,0.31,1.8675,0.25,10,5.742586207,0.424492484,10.27125,4.29,6.9225
LiAgHg2,0.469834479,0.837261548,71,255.8400736,539.315,134.25,5.375,1.02,1.7275,0,7.5,8.907586207,0.359718675,9.2853125,18.975,10.51125
Na2HgAu,0.363151636,0.621619394,71,296.2057815,578.3475,150,16,1.61,1.6,0,5,12.54333333,0.199155079,25.6,18.75,14.845
LiZnHg2,0.47536197,0.81509007,71,241.1742864,403.7525,128.5,3.5,1.02,1.6575,0,7.5,11.27758621,0.370240074,5.80125,18.975,10.21791667
MgCdHg2,0.592387837,0.659321468,71,338.6805089,496.465,137.25,5.25,0.69,1.75,0,7.5,5.742586207,0.323066383,9.1875,5.406666667,7.201666667
NaTlHg2,0.514225635,0.852073449,71,306.2344355,354.1275,143.75,11.75,1.07,1.6375,0.25,7.5,4.005747126,0.281350656,19.240625,18.75,10.595
Tl2HgAu,0.682054019,0.999221436,71,334.9935944,681.4125,139.5,5.5,0.92,1.945,0.5,10,10.21,0.417721473,10.6975,2.19,6.565
NaMgHg2,0.509400005,0.572858945,71,324.9970525,440.6275,142.75,11.625,1.07,1.56,0,5,6.353333333,0.194915615,18.135,18.75,11.39916667
Tl2HgBi,0.699354144,1.024835164,71,331.4875909,483.18,142.5,5.25,0.4,1.815,1.25,10,7.712413793,0.357118668,9.52875,7.15,5.215
LiCd2Hg,0.528425523,0.622590275,71,288.2871273,469.1125,137,7,1.02,1.59,0,7.5,8.644252874,0.371191025,11.13,18.975,11.08375
NaHg2Bi,0.532393903,0.807964705,71,325.3145169,345.9775,144.5,12.5,1.09,1.7375,0.75,7.5,7.712413793,0.266267843,21.71875,23.71,8.8075
TlInHg2,0.728365398,0.877192334,71,340.9233201,368.8475,137.75,5.75,0.38,1.85,0.5,10,2.65,0.393525822,10.6375,4.29,6.98
NaLiHg2,0.426171999,0.598529846,71,299.0144432,323.3,139.5,13.25,1.07,1.4775,0,5,12.65,0.20765879,19.576875,18.975,14.79125
TlHg2Bi,0.729855868,1.030580177,71,328.1116951,397.51,139.25,7.25,0.4,1.91,1,10,7.712413793,0.362531722,13.8475,7.15,4.6675
In2HgBi,0.723859079,0.851578498,71,311.6058008,409.555,141,4.5,0.24,1.895,1.25,10,8.69,0.374856197,8.5275,9.25,6.265
LiTlHg2,0.572860132,0.831614266,71,305.7569358,374.8325,134.25,5.375,1.02,1.65,0.25,7.5,10.31666667,0.31922193,8.86875,18.975,10.65125
Tl2CdHg,0.774058195,0.858082946,71,349.1863177,495.635,141.5,4.75,0.38,1.7325,0.5,10,7.415,0.405874686,8.229375,2.19,6.945
Na2TlHg,0.568447993,0.486606847,71,384.7175651,388.265,152.25,13.75,1.07,1.37,0.25,5,4.005747126,0.18077584,18.8375,18.75,15.2825
InHg2Bi,0.754747175,0.971946573,71,309.6504965,360.6975,138.5,6.5,0.24,1.95,1,10,8.69,0.371453182,12.675,9.25,5.1925
TlHg2Pb,0.780573779,1.015513023,71,332.2520687,411.5625,138.75,6.75,0.71,1.9875,0.75,10,2.872413793,0.37916427,13.415625,2.19,6.31625
NaHg2Pb,0.602243468,0.821664702,71,318.9908746,360.03,144,12,1.4,1.815,0.5,7.5,4.005747126,0.278219565,21.78,18.75,10.45625
NaGaHg2,0.627191237,0.675178795,71,303.6707623,285.605,138,14,1.07,1.685,0.25,7.5,10.38583333,0.304333694,23.59,18.75,10.7375
LiInHg2,0.605764572,0.781261197,71,277.871422,338.02,133.5,4.25,1.02,1.69,0.25,7.5,8.644252874,0.328484516,7.1825,18.975,11.17625
Tl2HgPb,0.836993121,0.94527064,71,358.6073864,497.2325,142,5,0.71,1.8925,1,10,2.872413793,0.373247186,9.4625,2.19,6.86375
InHg2Pb,0.843012161,0.892739084,71,336.296056,374.75,138,6,0.55,2.0275,0.75,10,3.85,0.388934153,12.165,4.29,6.84125
Mg6GaBi,-0.018792136,3.769012245,38,23.37994181,798.16375,139.5,4.375,0.71,1.46125,0.5,2.5,14.0925,0.105737586,6.39296875,10.36666667,9.14
Mg6GaBi,-0.018523093,3.777527889,38,23.32723664,798.16375,139.5,4.375,0.71,1.46125,0.5,2.5,14.0925,0.105737586,6.39296875,10.36666667,9.14
SrMg14Ga,0.033064408,2.143409204,38,24.09437921,892.181875,143.1875,6.4765625,0.86,1.31875,0.0625,0.625,35.3725,0.025409893,8.540966797,17.43,11.52520833
NaMg6Ga,0.042987808,2.16842301,38,22.83396653,776.4725,141.75,6.0625,0.88,1.325,0.125,1.25,10.38583333,0.053925556,8.0328125,15.99,12.10375
NaMg6Ga,0.043645545,2.173767173,38,22.77782968,776.4725,141.75,6.0625,0.88,1.325,0.125,1.25,10.38583333,0.053925556,8.0328125,15.99,12.10375
Mg6GaCu,0.017794649,2.948262281,38,19.64948963,899.835,137.5,5.25,0.59,1.44625,0.125,2.5,11.82,0.119568954,7.5928125,4.616666667,9.85875
Mg6GaCu,0.019951385,2.913662127,38,19.88283013,899.835,137.5,5.25,0.59,1.44625,0.125,2.5,11.82,0.119568954,7.5928125,4.616666667,9.85875
CaMg6Ga,-0.015672838,2.22263416,38,23.87287063,869.48875,143,8.25,0.81,1.33375,0.125,1.25,18.9125,0.051555029,11.0034375,17.61333333,12.30666667
CaMg6Ga,-0.015647366,2.230314236,38,23.79066453,869.48875,143,8.25,0.81,1.33375,0.125,1.25,18.9125,0.051555029,11.0034375,17.61333333,12.30666667
SrMg14Ga,0.050946351,2.134546863,187,24.19441571,892.181875,143.1875,6.4765625,0.86,1.31875,0.0625,0.625,35.3725,0.025409893,8.540966797,17.43,11.52520833
Ca2ZnCd,1.182059258,0.265638896,71,403.1593573,879.225,154.5,21.5,0.69,1.335,0,5,23.81,0.183494656,28.7025,19.91666667,16.15083333
Sr2ZnIn,1.182109378,0.366865181,71,402.2368919,805.6075,163.5,31.5,0.83,1.3325,0.25,5,40.27,0.136351241,41.97375,19.73333333,16.64166667
MgZn2Pd,1.110154064,0.463955174,71,234.0217296,1034.1025,131,9,0.89,1.7025,0,7.5,8.93,0.459981601,15.3225,5.966666667,6.8
Ca2MgZn,1.353203664,0.166429133,71,423.7175402,961.42,153.75,22.25,0.65,1.24,0,2.5,23.81,0.088975888,27.59,19.91666667,17.0125
Sr2ZnGa,1.18640179,0.353421633,71,364.5679719,773.8975,158.5,36.5,0.86,1.34,0.25,5,40.27,0.141565359,48.91,19.73333333,16.25916667
ZnNiAu2,1.399869693,1.023607603,71,210.0947292,1273.835,129.5,6.5,0.89,2.16,0,9.5,6.38,0.658807212,14.04,1,6.054166667
Ca2TlZn,1.207717479,0.367607953,71,395.1919553,874.92,154.75,21.25,0.65,1.3175,0.25,5,23.81,0.171806546,27.996875,19.91666667,16.20833333
Zn2PtAu,1.174421733,1.103682715,71,196.6696754,1191.0225,129,7,0.89,2.03,0,9.75,2.74,0.653923541,14.21,0.7,5.983333333
Ca2ZnPd,1.063223065,0.349889893,71,298.9732952,1187.6825,153.25,22.75,1.2,1.4625,0,5,23.81,0.192474257,33.271875,20.93333333,15.52083333
Zn2CuPd,1.2628409,0.773240551,71,161.4838946,1142.795,128.75,6.75,0.55,1.85,0,10,3.34,0.74906367,12.4875,1.35,5.645833333
