formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiIn2,-0.068373335,24.07746558,437.73,137.3333333,0.8,1.513333333,0.666666667,6.666666667,14.685,14.545
LiIn2Ag,-0.20419727,20.36748063,637.03,139.25,0.95,1.6175,0.5,7.5,17.345,12.65625
LiIn2Cu,1.105335641,235.3096013,667.74,136,0.92,1.61,0.5,7.5,18.185,12.44625
LiIn2Ni,-0.273389037,16.03741773,760.2975,134,0.93,1.6125,0.5,7,17.535,12.60875
LiIn3,-0.211121697,22.67283061,435.735,138.5,0.8,1.58,0.75,7.5,14.685,13.32125
LiInAg2,-0.230211929,17.72072401,838.325,140,0.95,1.655,0.25,7.5,17.345,11.99125
LiInCu2,1.241889756,197.7556915,899.745,133.5,0.92,1.64,0.25,7.5,18.185,11.57125
LiInSn,-0.209241038,25.22976868,462.84,136.3333333,0.98,1.573333333,1,6.666666667,17.275,13.68166667
LiMg,-0.052212873,20.11018333,688.345,134.5,0.33,1.145,0,0,13.56833333,17.55083333
LiMg149,0.007047053,22.38363286,919.8712667,140.9133333,0.33,1.3078,0,0,13.56833333,10.85712222
LiMg14Al,0.017806655,22.21677361,894.3225,138.9375,0.63,1.308125,0.0625,0,17.535,11.36677083
LiMg14Bi,-0.011408415,23.19033902,870.005625,140.625,1.04,1.33375,0.1875,0.625,23.935,10.96677083
LiMg14Cu,0.030631447,21.51870016,920.84125,139.625,0.92,1.32625,0,0.625,18.185,11.32614583
LiMg14Ni,0.038665605,21.14445099,943.980625,139.125,0.93,1.326875,0,0.5,17.535,11.36677083
LiMg14Sn,-0.020426201,22.7058024,867.548125,140.0625,0.98,1.33,0.125,0.625,17.275,11.38302083
LiMg14Zn,0.016264884,22.02455576,879.273125,139,0.67,1.310625,0,0.625,18.51833333,11.3053125
LiMg15,0.002009269,22.27546621,893.668125,140.1875,0.33,1.289375,0,0,13.56833333,11.6146875
LiMg17Al11,-0.004814024,20.15630732,910.7882759,132.9655172,0.63,1.412413793,0.379310345,0,17.535,9.729942529
LiMg2,-0.055750262,20.54513904,766.5633333,136.6666667,0.33,1.2,0,0,13.56833333,15.28944444
LiMg2Ag,-0.198029604,18.13152972,883.655,138.75,0.95,1.3825,0,2.5,17.345,13.21458333
LiMg2Al,0.243783752,22.30748763,808.29,132.75,0.63,1.3025,0.25,0,17.535,13.16708333
LiMg2Cu,1.158903161,230.8691851,914.365,135.5,0.92,1.375,0,2.5,18.185,13.00458333
LiMg2In,-0.12803799,20.55704053,682.36,138,0.8,1.345,0.25,2.5,14.685,13.87958333
LiMg2Ni,-0.104792426,15.5430311,1006.9225,133.5,0.93,1.3775,0,2,17.535,13.16708333
LiMg2Zn,-0.122345653,17.66146872,748.0925,133,0.67,1.3125,0,2.5,18.51833333,12.92125
LiMg3,-0.024017978,21.5622913,805.6725,137.75,0.33,1.2275,0,0,13.56833333,14.15875
LiMg5,-0.015599097,21.90936025,844.7816667,138.8333333,0.33,1.255,0,0,13.56833333,13.02805556
LiMg6Al,0.014738219,21.46318845,865.645,136.875,0.63,1.30625,0.125,0,17.535,11.966875
LiMg6Bi,-0.046646642,23.38113753,817.01125,140.25,1.04,1.3575,0.375,1.25,23.935,11.166875
LiMg6Cu,0.024314477,20.05180873,918.6825,138.25,0.92,1.3425,0,1.25,18.185,11.885625
LiMg6Ni,0.046551037,19.94591379,964.96125,137.25,0.93,1.34375,0,1,17.535,11.966875
LiMg6Sn,-0.05330026,22.44359138,812.09625,139.125,0.98,1.35,0.25,1.25,17.275,11.999375
LiMg6Zn,-0.002347672,21.07864891,835.54625,137,0.67,1.31125,0,1.25,18.51833333,11.84395833
LiMg7,-0.005217091,21.99313828,864.33625,139.375,0.33,1.26875,0,0,13.56833333,12.46270833
LiMgAg2,-0.22726054,16.75763481,961.6375,139.75,0.95,1.5375,0,5,17.345,12.27041667
